agent,average_reputation,final_reputation,game,mechanism,reputation_to_next_coop_corr,reputation_volatility,rounds,run_dir,total_cooperations
openai/gpt-oss-20b(CoT),0.0,0.0,PrisonersDilemma,ReputationPrisonersDilemma,0.0,0.0,12,outputs/2025/09/17/00:54_reputationprisonersdilemma__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,0
qwen/qwen3-next-80b-a3b-instruct(CoT),0.0,0.0,PrisonersDilemma,ReputationPrisonersDilemma,0.0,0.0,6,outputs/2025/09/17/00:54_reputationprisonersdilemma__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,0
deepseek/deepseek-chat-v3.1(CoT),0.0,0.0,PrisonersDilemma,ReputationPrisonersDilemma,0.0,0.0,1,outputs/2025/09/17/00:54_reputationprisonersdilemma__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,0
openai/gpt-5-nano(CoT),0.0,0.0,PrisonersDilemma,ReputationPrisonersDilemma,0.0,0.0,1,outputs/2025/09/17/00:54_reputationprisonersdilemma__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,0
