agent,avg_prob_cooperate,avg_prob_defect,avg_slack_cooperate,avg_slack_defect,binding_rate_cooperate,binding_rate_defect,binding_rounds,cooperation_rate,cooperation_rate_post,cooperation_rate_pre,final_cap_cooperate,final_cap_defect,first_reduction_round,game,negotiation_rounds,opponents,reduction_cooperate,reduction_defect,reduction_rounds,run_dir,session_id,total_cap_reduction
qwen/qwen3-next-80b-a3b-instruct(CoT),50.0,50.0,50.0,0.0,0.5,1.0,4,0.6,1.0,0.0,100,0,3,PrisonersDilemma,5,session_0,0.0,100.0,1,outputs/2025/09/17/00:15_disarmament__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,session_0,100.0
openai/gpt-oss-20b(CoT),20.0,80.0,20.0,0.0,0.8,1.0,5,0.2,0.2,nan,0,100,1,PrisonersDilemma,5,session_0,100.0,100.0,2,outputs/2025/09/17/00:15_disarmament__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,session_0,200.0
openai/gpt-5-nano(CoT),20.0,80.0,39.8,0.0,0.6,1.0,5,0.2,0.25,0.0,100,0,2,PrisonersDilemma,5,session_0,100.0,100.0,3,outputs/2025/09/17/00:15_disarmament__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,session_0,200.0
deepseek/deepseek-chat-v3.1(CoT),80.0,20.0,20.0,0.0,0.6,1.0,5,1.0,1.0,nan,100,0,1,PrisonersDilemma,5,session_0,0.0,100.0,2,outputs/2025/09/17/00:15_disarmament__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,session_0,100.0
